name,last_name,id,username,password,accState,role,balance
Shawn,Fonteno,19281232,fclinton,gta5,activa,administrador,0
Willdon,Skone,81003588,wskone0,dX8!<bxH,suspendida,cliente,50.32
Philis,Crumb,36366564,pcrumb1,gJ9$FQs4,suspendida,empleado,132.88
Liliane,Speers,67800769,lspeers2,oY0!f5Hj',activa,cliente,172.21
Morris,D'eathe,88805715,mdeathe3,rB2+E8&5m,activa,cliente,78.05
Linzy,Laity,6995026,llaity4,aB2as,activa,empleado,24.76
Van,Bosse,83286340,vbosse5,wK4$8q>W\&,suspendida,cliente,58.94
Alverta,Patterson,6122016,apatterson6,fO2#p%~k,activa,empleado,98.12
Grange,Jeays,57511230,gjeays7,yW4@#W>`6,suspendida,cliente,42.37
Laura,Anwyl,15540255,lanwyl8,hB6?7MC,activa,cliente,129.55
Isabel,Vibert,14598256,ivibert9,sG4p\,suspendida,cliente,14.67
Ernesto,Minchinton,62709408,eminchintona,rY2`X?4+?,suspendida,empleado,27.12
Dyane,Windrus,43719590,dwindrusb,nV5>'aDpH,suspendida,cliente,184.33
Felicle,Dullard,31625790,fdullardc,wA2#FY{9R,suspendida,cliente,37.28
Charlton,Ezzle,40522023,cezzled,yV1%&E,activa,empleado,75.14
Dedie,Moore,69098855,dmooree,"jG8+""8i*",activa,cliente,124.67
Jonathan,Dymond,12914528,jdymondf,dB4@.,suspendida,empleado,189.21
Edita,Karpe,75940569,ekarpeg,ecatepec,activa,empleado,199.1
Gay,Pabel,46503291,gpabelh,tJ1{/s,suspendida,cliente,75.09
Dannel,Ducket,33503646,elduki,lpasswo,activa,empleado,20.88
Edan,Hearsum,50831275,ehearsumj,pL3%.Ox,suspendida,cliente,98.76
Veradis,McCard,79670062,vmccardk,sR0|<5UKN,activa,cliente,143.54
Lonnie,McCarter,58785377,lmccarterl,lO4=e,suspendida,cliente,182.45
Jinny,Boshers,20723312,jboshersm,nD5=DoTc,suspendida,empleado,58.97
Nicolai,Lattos,47364472,nlattosn,sE3&+,activa,cliente,14.56
Patience,Fletcher,75682437,pfletchero,dI5%W}'1tL,suspendida,empleado,99.44
Livvie,Budding,87740252,lbuddingp,iF1}(@8(,suspendida,cliente,74.61
